CountryCode,IndicatorCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
COG,NY.GDP.MKTP.CD,3227927697,2796704603,3034250926,3503723087,4656974938,6650001685,8072305031,8782703428,11649857662,9723299908,13148396206,15655383586,17692911281,17958720704,17912907682,11890259177,10219341017,11094823677,13670038020,12750338736,10483151094,13366230821,14615532210
COG,SE.TER.ENRR,5.255350113,4.211269855,3.769589901,3.802269936,,,,,,5.819240093,,7.919290066,9.073679924,8.570320129,,11.59112453,,12.26163006,,,,,
COL,NY.GDP.MKTP.CD,99875074935,98200641189,97945812790,94644969146,1.17E+11,1.46E+11,1.62E+11,2.06E+11,2.43E+11,2.32E+11,2.86E+11,3.35E+11,3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.12E+11,3.34E+11,3.23E+11,2.70E+11,3.19E+11,3.44E+11
COL,SE.TER.ENRR,25.50968933,26.38125992,26.51309967,,29.50345993,32.25397873,34.36621094,35.47853088,37.94480133,39.50880051,41.52967072,45.28733063,47.46699142,50.74748993,53.17943954,54.79613113,57.14374924,58.39604187,57.32054138,56.66630173,55.73310852,58.31592178,
COM,NY.GDP.MKTP.CD,351136579.8,378512024.1,425964681.1,546885223.2,633706110.4,653845169.2,698431794.5,795673153.2,915659107.8,905341174,907978731.7,1023086273,1015843491,1116224107,1149587660,966029599.8,1012835493,1077439756,1188797450,1195019531,1225039196,1296089479,1242519407
COM,SE.TER.ENRR,1.49466002,,,3.400870085,,,,4.53015995,,6.476930141,6.352799892,8.782179832,9.475850105,9.469889641,9.628290176,,,,,,,,
CPV,NY.GDP.MKTP.CD,539227277.6,563090488.9,620507385.7,813260468.9,924940012.9,972241682.1,1107571459,1649621735,1959620653,1852334581,1824751460,2046817975,1913081206,2028910915,2041930125,1749857628,1849789993,1996741545,2205099509,2266752197,1878277311,2091741774,2314816792
CPV,SE.TER.ENRR,1.586359978,1.387040019,3.432909966,4.141119957,5.602920055,7.119319916,8.200900078,9.363050461,11.61629963,14.56443977,17.20664024,19.6212101,19.39673042,21.27923012,21.79011917,20.57601929,21.05702019,21.16415024,20.21744919,,,,
CRI,NY.GDP.MKTP.CD,15013629659,15976174337,16578820687,17271760507,18610594846,20040642477,22715540324,26884700345,30801744881,30745714327,37658614803,42762613706,47231655433,50949668886,52016408924,56441920824,58847019585,60516044623,62420164965,64417670556,62395610764,64616482168,68380838316
CRI,SE.TER.ENRR,,,,,25.99328041,,,,,,,44.93572998,47.31613159,47.84122849,50.75791168,51.65193176,52.13162994,54.4580307,52.86867905,54.71897125,,,
CSS,NY.GDP.MKTP.CD,34533836400,35575792426,37324429142,39887632895,43625669538,49307227387,56074290119,62328938789,70781391356,59840574174,64939019150,70074558334,73844945661,75227025826,76921753856,75480329447,70977854237,73482494257,76247249561,77282796216,65994922945,75672802627,92935645973
CSS,SE.TER.ENRR,12.28124046,13.24116993,14.23087025,15.08302975,16.23197937,15.72379017,15.82376957,17.11034012,18.64842033,19.24490929,20.75205994,20.8052597,22.21904945,21.7770195,22.16459084,22.3489399,22.47924995,,,,,,
CUB,NY.GDP.MKTP.CD,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,48835925926,54262870370,56302129630,57481481481,59562962963,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,1.00E+11,1.03E+11,1.07E+11,,
CUB,SE.TER.ENRR,23.02796936,26.10853004,27.44728088,32.58285904,52.48974991,60.20594025,84.95427704,105.4140015,117.7199402,114.4884186,94.1727066,79.02472687,61.73178864,47.99599838,40.51198959,36.21772003,34.45679092,40.4316597,41.59437943,43.99377823,45.92990875,51.07854843,
CUW,NY.GDP.MKTP.CD,,,,,,,,,,,,2933128492,3024525140,3039944134,3048435754,3042737430,3014748603,3009497207,3020388827,2995185475,2496174749,2699612458,
CUW,SE.TER.ENRR,,,,,,,,,,,25.35449028,23.1361084,23.91581726,23.08419991,23.67406464,19.00263977,18.32068825,16.51016426,15.87489223,15.28120136,14.87856674,15.74531078,15.90087795
